id,sentiment,text,user,label
26,neutral,Counseling via Skype. Online Mindfulness Therapy for overcoming #anxiety &amp; #depression without depending on drugs.… https://t.co/zDNIyooB5y,SkypeTherapist,anxiety
27,neutral,Not sure I'm at the point of it being thrilling just yet.\n\n#anxiety #ptsd #traumarecovery #narcissisticabuse #cptsd… https://t.co/1adUgFBSgg,thelindam,anxiety
28,neutral,Get $hit Done.\n#S3E3 #Sethi3 #S3  \n1. Power of Deadline\n2. Don't Try to Change - Change Props\n3. Works if you Like… https://t.co/ZkIpUxVDiK,theSethi,anxiety
29,negative,Going Back To School can be scary for both children and parents😨\n\nWe have created a handbook with information and t… https://t.co/WJXPXl5tQc,BreakTheMouldGB,anxiety
30,positive,RT @SerialPillock: We're doing so much damage they threw the whole budget at us!!! :S \n\nhttps://t.co/A4dQWgK9xe #anxiety #depression #autis…,RealDrCollision,anxiety
31,positive,RT @SerialPillock: We're doing so much damage they threw the whole budget at us!!! :S \n\nhttps://t.co/A4dQWgK9xe #anxiety #depression #autis…,BlazedRTs,anxiety
32,neutral,RT @BlassPam: https://t.co/r826S7BOV7\n\n#WeightedBlanket 4kg for #Children #kids #therapy #anxiety #Autism #Sensory #insomnia #stressrelief…,andrewmorrisuk,anxiety
33,positive,We're doing so much damage they threw the whole budget at us!!! :S \n\nhttps://t.co/A4dQWgK9xe #anxiety #depression… https://t.co/27qEDSy6kN,SerialPillock,anxiety
34,positive,If you struggle with #anxiety.... How to Calm Yourself with a Few Choice Steps to Help Ease Anxiety - via… https://t.co/2aqa1qTp5v,sandypeckinpah,anxiety
35,neutral,Just a reminder…\n\n(This ones a big one for me too).\n\nCodependency and hyperindependence are two extremes. Extremes… https://t.co/9f767oWk1i,Eclecticakemix,anxiety
36,neutral,Online Psychotherapy for #Anxiety https://t.co/BGKHJYbUjF,SkypeTherapist,anxiety
37,positive,SOCIAL ANXIETY\n.\n.\n.\n#Art #artshare #Anxiety #MentalHealthMatters https://t.co/aBT537pf9j,_leilorenzo,anxiety
38,neutral,RT @CBSCIC: Motivational Monday #MondayMorning       #MondayMotivation   #SEND     #parenting      #carers  #MondayVibes       #anxiety…,PinnacleAppsLtd,anxiety
39,positive,RT @TT_Bounce: New @bouncetogether content alert! We now have 8 specific surveys covering stress &amp; anxiety.  This is very timely in the cur…,bouncetogether,anxiety
40,neutral,https://t.co/r826S7BOV7\n\n#WeightedBlanket 4kg for #Children #kids #therapy #anxiety #Autism #Sensory #insomnia… https://t.co/ndQlfUMcGy,BlassPam,anxiety
41,neutral,#psychodermatology encompasses all conditions involving the #mind and #skin.Relationship between #cutaneous &amp;… https://t.co/6zKY96pt9T,skinbody2021,anxiety
42,negative,"Depression, bipolar disorder, and anxiety share a common gut bacteria \n@KingsCollegeLondon #Depression #Anxiety… https://t.co/gGaZWep6pi",TechExplorist,anxiety
43,neutral,RT @CECounsellor: What is Emotional Intensity Disorder? \nEmotional Unstable Personality Disorder (EUPD) or\nBorderline Personality Disorder…,Therapists_C,anxiety
44,neutral,Skype Therapist for #Anxiety and #Depression online. See: https://t.co/5WjxvQCxf5 #onlinetherapy #onlinetherapist,SkypeTherapist,anxiety
45,negative,"#Depression, bipolar disorder, and #anxiety share a common gut bacteria https://t.co/rWcFI0QbSo",amit_malewar,anxiety
46,negative,Can anyone give me ideas of what to draw rn? I am currently having a small anxiety attack and I need to distract my… https://t.co/hhTzyeWSAr,edgy_official,anxiety
47,positive,We sell all products drugs\n#drugs #codeine #health #california #tramadol #uk #dankofengland #love #art #medicine… https://t.co/YUFx0iSFJc,Julie17458210,anxiety
48,neutral,Looking for online therapy over Skype?\n\nTalk to a Therapist Online over Skype for help with #Anxiety and… https://t.co/63RsqU006u,SkypeTherapist,anxiety
49,positive,RT @wofsy_stacy: Sound ⬆️ #LosingMyself by #JordanWofsy out now on all music platforms! #ocd #anxiety #nvld #newartist #newsong #songwriter…,hazelme19,anxiety
50,neutral,RT @AnxietyPath: https://t.co/243sOh8pZ6\n\n#anxiety #anxietydisorders #depression #phobia #recovery #mentalhealth #mh #BehaviorModification…,bria025,anxiety
51,positive,WANT TO GET BETTER FROM #OCD AND #anxiety ??\n\n🔥You have to WATCH OUR DAILY #YouTube VIDEOS🔥\n\nClick on the link to s… https://t.co/QiLrM6mMYG,OCDRehabilitat1,anxiety
52,neutral,RT @vegan_raven: #MentalHealthAwareness #MentalHealthMatters #anxiety #depression #stressmanagement #Help #SupportSmallStreamers #Emmys2021…,Streamer_Boost,anxiety
53,neutral,"RT @i_am_Asma_Aslam: Peak pressure moments are riddled with #anxiety that leaders need to manage, not #ignored \n\nhttps://t.co/OHtUUdRKfl\n\n@…",InnovGaragePk,anxiety
54,neutral,RT @vegan_raven: #MentalHealthAwareness #MentalHealthMatters #anxiety #depression #stressmanagement #Help #SupportSmallStreamers #Emmys2021…,GrowURStream,anxiety
55,neutral,Online Counseling for #Anxiety https://t.co/eNRGaLxFqy #anxietytreatment #anxietytherapy #anxietyhelp… https://t.co/2G3kEHn1QU,SkypeTherapist,anxiety
56,negative,RT @CruseCare: It's completely normal to find yourself feeling anxious or worried after the death of someone close. 💜\n\n#Anxiety can feel di…,YorkCruse,anxiety
57,neutral,RT @LEAD_Coalition: Please re-Tweet to raise awareness about #panic attacks.\n\n(image via @BelievePHQ) #health #mentalhealth #stress #anxiet…,LucyProsser,anxiety
58,positive,"RT @o_franco_aleman: Your #anxiety might have represented a crushing faith\nor a character assassination, my own or someone else's.\nOr a lac…",Alisazvezdica99,anxiety
59,positive,Invest in your Health to ultimately gather Wealth!\n\nVisit our website for more details\nhttps://t.co/49nQgNIhKg… https://t.co/TC2KVIZTJ0,Brotaindiherbs,anxiety
60,positive,"We spend a lot of time at school, so it's no surprise that our happiness levels at school have a huge impact on our… https://t.co/dlsx1BGqv9",health_yp,anxiety
61,neutral,What Does Your Blood Type Say About Your Personality?\nhttps://t.co/vulngthPie \n#tagfire #lifestyle #health #life… https://t.co/HUshfjnBP7,StayHealthy07,anxiety
62,positive,Woke up to this email. Thanks to everyone who reached out. #mentalhealth #bipolar #anxiety #OCD https://t.co/lU9v91hejJ,BipolarAletheia,anxiety
63,positive,New @bouncetogether content alert! We now have 8 specific surveys covering stress &amp; anxiety.  This is very timely i… https://t.co/awm9VOY0zu,TT_Bounce,anxiety
64,neutral,#MentalHealthAwareness #MentalHealthMatters #anxiety #depression #stressmanagement #Help #SupportSmallStreamers… https://t.co/oyREkLrzPn,vegan_raven,anxiety
65,positive,RT @SkinOnlineBlog: 3 HAPPY HORMONES\n1. Endorphins which from exercise reduce pain &amp; induce euphoria\n2. Serotonin to regulate your mood &amp; p…,SkinOnlineBlog,anxiety
66,neutral,#godsword #humility #anxiety #fear #worry @auburnu @hooverbucsathletics @ Clinic for Vision https://t.co/5sf39QXt13,au4burnKate,anxiety
67,neutral,"RT @i_am_Asma_Aslam: Peak pressure moments are riddled with #anxiety that leaders need to manage, not #ignored \n\nhttps://t.co/OHtUUdRKfl\n\n@…",ImJattala,anxiety
68,negative,RT @TodayBeKind: EMMERDALE star Danny Miller @DannyBMiller who plays bad boy Aaron Dingle has opened up to fans on #SocialMedia to discuss…,Awarding_Women,anxiety
69,positive,RT @SchudioTv: Want to know more about #autism and #anxiety? Watch this short clip below...\n\nClick here to enrol ➡️ https://t.co/nTSj2BRt47…,GIFTpeer_haven,anxiety
70,negative,"#ErectileDysfunction is common in men over 40. It's usually nothing to worry about &amp; is often due to #stress,… https://t.co/QGlmUgBwG2",pschemist,anxiety
71,positive,Online Therapist Specializing in #Anxiety Disorders. Contact me. Most people see huge improvements after 3-4 Skype… https://t.co/aeA5DlaXvx,SkypeTherapist,anxiety
72,neutral,"What are the basic signs of experiencing #depression, and how severe can it get?  #mentalhealth #depressionsupport… https://t.co/y0V37wMznk",Altuslifesci,anxiety
73,neutral,RT @JonnyCleanPick: Just sharing my thoughts😊 @rtArtBoost @_lgtwo @RTtheBEST #Trending #MyHeroAcademia #anxiety  #fear https://t.co/dNAkhCm…,RoseMarianFinn1,anxiety
74,positive,RT @SchudioTv: Want to know more about #autism and #anxiety? Watch this short clip below...\n\nClick here to enrol ➡️ https://t.co/nTSj2BRt47…,ReachoutASC,anxiety
75,positive,Online Therapist for the treatment of #Anxiety available Now!\nGo to: https://t.co/3fj7AERb9i #anxietytherapy #anxietyhelp,SkypeTherapist,anxiety
76,positive,"Personally, I found this an excellent read for my anxiety. ‘The anxiety solution is your roadmap to a calmer, happi… https://t.co/SWnYYF5pQj",LucyProsser,anxiety
77,negative,RT @TodayBeKind: High functioning #anxiety is a hidden problem. People don’t understand the daily struggles. Pass it on to enlighten others…,Awarding_Women,anxiety
78,neutral,11 Ways Your Nutritional Needs Change As You Age https://t.co/j1WFWJlj00\n#health #healthcare #life #lifestyle… https://t.co/q4pumCnmL7,HealthyandFitn8,anxiety
79,positive,18 Useful Tips for Healthy Teeth And Gums\nhttps://t.co/xlyL1jABQF\n#health #healthcare #life #lifestyle #fitness… https://t.co/QNYZ4aFV3G,HealthyandFitn8,anxiety
80,neutral,RT @dlhampton: How Trauma Can Damage the #Brain for Generations and Can Be Reversed https://t.co/xen9YbAURw\n\n#Epigenetics is proving that #…,john_siracusa,anxiety
81,neutral,RT @vetmindmatters: Join us today at 12:30pm for the final webinar in our summer series.\n\nToday we're going to be exploring #phobias - a co…,thewebinarvet,anxiety
82,neutral,It is. Hormonal fluctuations affect the neurotransmitters in the brain. This drop in estrogen and #progesterone lev… https://t.co/oBhlm7YFXC,iameno_health,anxiety
83,positive,Want to know more about #autism and #anxiety? Watch this short clip below...\n\nClick here to enrol ➡️… https://t.co/MBVRRpGjqZ,SchudioTv,anxiety
84,neutral,Psychotherapy through Skype to Overcome #Anxiety and #Depression. Go to: https://t.co/2FZeDbYItc #onlinetherapy… https://t.co/wgiih1gJfd,SkypeTherapist,anxiety
85,neutral,Join us today at 12:30pm for the final webinar in our summer series.\n\nToday we're going to be exploring #phobias -… https://t.co/22l2A7n8ed,vetmindmatters,anxiety
86,positive,"RT @o_franco_aleman: Your #anxiety might have represented a crushing faith\nor a character assassination, my own or someone else's.\nOr a lac…",57Sergeeva,anxiety
87,positive,RT @Angie_therapist: Do not set aside your happiness. Do not wait to be happy in the future. The best time to be happy is always now. - Roy…,140promotions,anxiety
88,negative,RT @TodayBeKind: High functioning #anxiety is a hidden problem. People don’t understand the daily struggles. Pass it on to enlighten others…,MorgCarneyx,anxiety
89,neutral,Upcoming C.G. Jung webinars:\n\nhttps://t.co/mHzpBx8H7x\n\n #psychotherapy #counselling #mentalhealth #counseling… https://t.co/tjPgjsAD3h,schuepf,anxiety
90,neutral,"ජංගම දුරකතන, tab හෝ පරිගණක පදනම් වී ඇති සමාජ මාධ්‍ය ක්‍රියාකාරකම් සහ මානසික සෞඛ්‍යය පිලිබඳ ගැටලු අතර පැහැදිලි සබඳතා… https://t.co/T9emrlbbm3",nadun_don,anxiety
91,neutral,Skype Therapist for #Anxiety and #Depression. Contact me if you are looking for online psychotherapy. See: https://t.co/j5Km8BMYhZ,SkypeTherapist,anxiety
92,negative,"RT @ap_eastsussex: Please Give Me Space Badge Pin, Social Distancing Badge, 32mm, #Vaccinated, NHS, Covid, Social #Anxiety, #Autism, Mental…",andrewmorrisuk,anxiety
93,negative,"RT @ap_eastsussex: Please Give Me Space Badge Pin, Social Distancing Badge, 32mm, #Vaccinated, NHS, Covid, Social #Anxiety, #Autism, Mental…",karimaDivine,anxiety
94,positive,RT @FirstPersonCIC: The Resilient Minds Programme - Week 4\n\nFantastic day working with our wonderful new friends! This week was all about #…,CF_Merseyside,anxiety
95,neutral,Talk to a Therapist Online via Skype for help overcoming #anxiety &amp; #depression. See: https://t.co/Npam1Detk2 … https://t.co/Q59H21Szn4,SkypeTherapist,anxiety
96,positive,RT @ROBBIEOfficial3: New song called #NoLonger #anxiety  #depression follow me on all platforms;) https://t.co/HkldyEgQWm,MANDEELOVETHEOG,anxiety
97,positive,RT @mccruddenm: Is #drake talking about his ex #rihanna who is now dating #asaprocky on his new song #having our way” with #migos https://t…,bajalimon,anxiety
98,positive,"#Welcome to #WhiteSuit September\n\nThe easy, breezy, definitely-after-Labor Day white suit is #having a #heck of a m… https://t.co/7TAlHKCNBj",MySmallStoreMN,anxiety
99,positive,แค่มี - พลพล【OFFICIAL MV】 https://t.co/814NZJt7qB via @YouTube #i #feel #relieved #just #having #you #and #me #love… https://t.co/hrLspibfl5,auhaoohh,anxiety
100,neutral,#NOW #IMAGINE #PRIVATE #FEDS #HAVING #TAX #POLICE #AKA @IRS #FOR #NIGGAS @BBC,F9FALCON1,anxiety
101,positive,#having your own #popcorn at the #movies https://t.co/ZKaqbAG25R,gobunnygibson,anxiety
102,neutral,#グアバ \n#芭樂 とわかったのでもう一回観に行きました。\n\nお腹空いた…\n#肚子餓 \n\n#x100t \n#沖繩 \n#instagram \n\n#having #feelspecial https://t.co/j4x71WzwVv,codachie,anxiety
103,neutral,https://t.co/j08nOqCVDO \n#grocery #store #grocerystore #shopping #groceryshopping #stores #grocerystores #today… https://t.co/W21YFULnkn,mohaideen1978,anxiety
104,neutral,Yo! Me and my bro Pomp #having a blast! Check it out.\n\nhttps://t.co/YTTB9CmNwV\n#ETH #sustainable #CATX,crypto_returns,anxiety
105,neutral,Silver Birch was a spirit guide who spoke through Maurice Barbanell\n#spirit #spiritualism #silverbirch #message… https://t.co/8c4gL9dN0w,miyoshi5971,anxiety
106,neutral,RT @HamsonHelp: ##Having a last minute work you need help with? Dm us for help\n#Paper\n#python\n#homework\n#Onlineclass\n#Essaypay\n#Econometric…,BotFemale,anxiety
107,neutral,RT @HamsonHelp: ##Having a last minute work you need help with? Dm us for help\n#Paper\n#python\n#homework\n#Onlineclass\n#Essaypay\n#Econometric…,Bills_Bot,anxiety
108,neutral,RT @HamsonHelp: ##Having a last minute work you need help with? Dm us for help\n#Paper\n#python\n#homework\n#Onlineclass\n#Essaypay\n#Econometric…,xaelbot,anxiety
109,neutral,RT @HamsonHelp: ##Having a last minute work you need help with? Dm us for help\n#Paper\n#python\n#homework\n#Onlineclass\n#Essaypay\n#Econometric…,chidambara09,anxiety
110,neutral,RT @HamsonHelp: ##Having a last minute work you need help with? Dm us for help\n#Paper\n#python\n#homework\n#Onlineclass\n#Essaypay\n#Econometric…,DeveloperBot_v1,anxiety
111,neutral,RT @HamsonHelp: ##Having a last minute work you need help with? Dm us for help\n#Paper\n#python\n#homework\n#Onlineclass\n#Essaypay\n#Econometric…,ServerlessFan,anxiety
112,neutral,##Having a last minute work you need help with? Dm us for help\n#Paper\n#python\n#homework\n#Onlineclass\n#Essaypay… https://t.co/oGA1sYrpps,HamsonHelp,anxiety
113,positive,#peaceful\n#concerned\n#having\n#more\n#less https://t.co/nHbspsFRtQ,nelofersays,anxiety
114,neutral,安里に向かう途中見つけた、これは無花果いちじく？\n\n撮っただけで、\n取ってないですよ。\n\n干しイチジク\n好きです。\n\n#x100t \n#instagram \n#fig \n\n#having #feelspecial https://t.co/6XERthNMDs,codachie,anxiety
115,positive,u think if i blow up their phone they’ll take me back lol? #having #doubts,gnarIyboyz,anxiety
116,neutral,RT @HamsonHelp: #Having a last minute work you need help with? Dm us for help\n#Paper\n#python\n#homework\n#Onlineclass\n#Essaypay\n#Econometrics…,botfordev,anxiety
117,neutral,RT @HamsonHelp: #Having a last minute work you need help with? Dm us for help\n#Paper\n#python\n#homework\n#Onlineclass\n#Essaypay\n#Econometrics…,AzuerBot,anxiety
118,neutral,RT @HamsonHelp: #Having a last minute work you need help with? Dm us for help\n#Paper\n#python\n#homework\n#Onlineclass\n#Essaypay\n#Econometrics…,Bills_Bot,anxiety
119,neutral,RT @HamsonHelp: #Having a last minute work you need help with? Dm us for help\n#Paper\n#python\n#homework\n#Onlineclass\n#Essaypay\n#Econometrics…,xaelbot,anxiety
120,neutral,RT @HamsonHelp: #Having a last minute work you need help with? Dm us for help\n#Paper\n#python\n#homework\n#Onlineclass\n#Essaypay\n#Econometrics…,ServerlessFan,anxiety
121,neutral,#Having a last minute work you need help with? Dm us for help\n#Paper\n#python\n#homework\n#Onlineclass\n#Essaypay… https://t.co/LqQlksxb0U,HamsonHelp,anxiety
122,positive,RT @SandraL05001448: #having a wonderful time https://t.co/8LrmTHKBCP,SandraL05001448,anxiety
123,neutral,RT @TeacupPh: #We #are #all #fed #up #that #we #are #still #having #signal #problems #Fiona #is #especially #unimpressed 🐶😃🤗😍🥰❤️🙂👍\n#dogs #d…,SummerBreezeUS,anxiety
124,neutral,RT @TeacupPh: #We #are #all #fed #up #that #we #are #still #having #signal #problems #Fiona #is #especially #unimpressed 🐶😃🤗😍🥰❤️🙂👍\n#dogs #d…,HatsundHorns,anxiety
125,neutral,RT @TeacupPh: #We #are #all #fed #up #that #we #are #still #having #signal #problems #Fiona #is #especially #unimpressed 🐶😃🤗😍🥰❤️🙂👍\n#dogs #d…,RichardVero,anxiety
126,neutral,#We #are #all #fed #up #that #we #are #still #having #signal #problems #Fiona #is #especially #unimpressed 🐶😃🤗😍🥰❤️🙂… https://t.co/8aTJFlkAeQ,TeacupPh,anxiety
127,positive,Creativity is intelligence having fun Albert Einstein physicist.\n\nFor more details : https://t.co/B9vLhCIJef… https://t.co/4H0bWS4U8K,business_sight,anxiety
128,negative,#having #bad #day \nhttps://t.co/8mYP2ZRyBY\n#iFunny https://t.co/rksNJ2YIqp,Craigcraig290,anxiety
129,neutral,@ChaseMasta Are you #having,sonredman13,anxiety
130,neutral,#having,kristeneatssoap,anxiety
131,neutral,Iran is a MONTH away from having enough uranium to build nuclear bomb... https://t.co/c31y2kSG7D #iran #is #a… https://t.co/KwmygByj0o,AnyPollApp,anxiety
132,negative,"Although having too small a space has a negative impact on your business, having too big of a space can hurt as well. #Having",BusinessFF_com,anxiety
133,positive,#tuesday #b #like #we #b #having #fun making #💵 #💰 #🏦 #best #carwash #supply #store in #planet #earth the next one… https://t.co/fD2vhhBmPI,WASHSHINE1,anxiety
134,positive,#tuesday #b #like #we #b #having #fun making #💵 #💰 #🏦 #best #carwash #supply #store in #planet #earth the next one… https://t.co/FX01PGdLQm,WASHSHINE1,anxiety
135,positive,#tuesday #b #like #we #b #having #fun making #💵 #💰 #🏦 #best #carwash #supply #store in #planet #earth the next one… https://t.co/rAAvODzJMh,WASHSHINE1,anxiety
136,positive,#tuesday #b #like #we #b #having #fun making #💵 #💰 #🏦 #best #carwash #supply #store in #planet #earth the next one… https://t.co/ZQrcb350c1,WASHSHINE1,anxiety
137,neutral,#Having workers rights reduced to lowest possible is what #Brexiters  voted for. They are to blame for #Tory party… https://t.co/0JvYQM1KCp,az0zone,anxiety
138,neutral,Having a random teammates in nba2k Parkmode like  that preson don't care about winning at all he basic  help out th… https://t.co/KqSPR5WR4X,genegene420,anxiety
139,positive,#having #fun #with #statues #pictime https://t.co/pBadLWIzjp,stickerheadwrap,anxiety
140,neutral,今天的午餐\n很好吃😋\n好幸福〜😍\n\n#x100t \n#melimelonaha \n#沖繩 \n#午餐 \n#美食\n#instagram \n\n#having #feelspecial 場所: MéliMélo Café https://t.co/z4lsXRsTsb,codachie,anxiety
141,neutral,"日本時代の建物か…と見まごう青。初めての道で見かけて高雄に帰りたい気持ちに応えて現れたのかもね。\n\n#日本時代建築 \n#沖繩 \n#x100t \n#instagram \n\n#having #feelspecial 場所: Naha,… https://t.co/8lyoKMAHwN",codachie,anxiety
142,negative,Life is so hard when ur boyfriend doesn’t like seafood…#having #regrets,peepmyonlyfans,anxiety
143,positive,#Schoolgirls #having #fun in the locker #room https://t.co/7qIVWJ9u8u,AnnaxxHot,anxiety
144,positive,RT @Caribbeanbrass: #tropisch #entertainment #toernooi #tv #naarden #caribbeanbrass.com  #having #fun #saturday https://t.co/Q0k1tjuAsC,PowercutMusic,anxiety
145,neutral,We so #GoodGirls that we #TrickDaddy #bots into #thinking we #BotSociety \n\n#WeLoveYouAll  \n@kumailn  \n\n@MartinStarr… https://t.co/QG8708lCkE,SteveHa13879036,anxiety
146,neutral,Would you like to be part of our flagship event taking place this November? #Bepartoftheevolution and #collaborate… https://t.co/BL1hfwWzo7,ssforumuk,anxiety
147,neutral,RT @Monika_Aurumind: Educating the mind without educating the heart is no education at all ~ Aristotle\nAurum Wisdom by @Monika_Aurumind \n\n#…,Monika_Aurumind,anxiety
148,neutral,#Think #Thinking #malda How did ‘What #Bengal thinks today rest of #India thinks #tomorrow' land as a #dustbin case… https://t.co/uYCTKAe6RJ,gWoodi,anxiety
149,positive,"If you are bored, here is another daily Chess Puzzle for you. White to win in only 2 moves. Solve it now on… https://t.co/cjf6aJzFY8",ChessDuo,anxiety
150,negative,"Just like Chess, Poker also has real educational benefits - it's a highly complex, strategic &amp; cerebral game!… https://t.co/uHxAmO9cs3",IndianFedPoker,anxiety
151,neutral,"RT @ZukunftDigital: 🎤 In unserer bereits 17. Podcast-Folge, geht es um das spannende Thema #Design #Thinking. Elisabeth Stein vom Frauenhof…",HH_KompZentrum,anxiety
152,neutral,Boss is Boss. No male or female Gender to it. \nEntrepreneur is an Entrepreneur. Don't add male and female Wonder to… https://t.co/TX0qAMKEoK,kumar_hp,anxiety
153,positive,"Yuk, ikut berperan dalam kesehatan dimulai dari kebiasaan baik dalam dirimu!\n\n📞 More Info:\n(WA) \n0818-0678-5497 (Na… https://t.co/KaoIH8sSuk",youthpedIndo,anxiety
154,neutral,"RT @manabduch: Education is not the learning of the facts, but the training of the mind to think.\n\n- Albert Einstein\n\n#Dailyquote #brainyqu…",cuethehumans,anxiety
155,positive,FREE THOUGHT CONSULTATION Relationships Monday \n❤🤍❤🤍❤🤍❤🤍❤🤍\nWant to guarantee your child's success by thinking the r… https://t.co/F6AlNYacxf,NTM_UK,anxiety
156,positive,#thoughtoftheday #thoughts #thinking #BeDifferent #MotivationalQuotes #motivation #inspirational #inspire https://t.co/vGjaqcnhSr,ahiddendream,anxiety
157,positive,RT @Mr_Dani_Khan07: Please Like.Follow #feeling #love #life #happy #feelings #music #like #art #follow #instagood #quotes #instagram #mood…,coolnatureshots,anxiety
158,positive,RT @Mr_Dani_Khan07: Please Like.Follow #feeling #love #life #happy #feelings #music #like #art #follow #instagood #quotes #instagram #mood…,RadiozityMusic,anxiety
159,positive,Please Like.Follow #feeling #love #life #happy #feelings #music #like #art #follow #instagood #quotes #instagram… https://t.co/hvXIymx9Nw,Mr_Dani_Khan07,anxiety
160,positive,RT @Evie_Hourglass: I #Think - #Positive #Thinking #iPhone12 #Case https://t.co/Pcfj6kqxiv via @zazzle  #zazzlemade #zazzle #encouragement…,CoolMustHaves,anxiety
161,neutral,RT @BrainyQuote: Thinking: the talking of the soul with itself. - Plato https://t.co/kDJjoBIKLm #brainyquote #QOTD #thinking #soul,ShamlyUmar,anxiety
162,neutral,RT @besdakikadamat1: #HayırlıHaftalar #pazartesi #mathematics #satexam #actexam #mathteacher #teachmath #study #riddle #thinking #learning…,besdakikadamat1,anxiety
163,positive,Not been here for a while. So relaxing and peaceful #miltonkeynes #lovemk #walking #thinking #relaxing https://t.co/HWqtGlNJ1Q,Nirajwriter,anxiety
164,positive,"RT @kingsolomonferb: #dressing, #acting, #behaving, #thinking, #speaking, #walking 👗 like an #European #certainly doesn't make u 1! #few #b…",kingsolomonferb,anxiety
