text,label
   Caladesi was definitely a nice peaceful way to spend a Sunday! I got a lil tan!,notspam
 i still dont know what we would do though,spam
"_xo   dang it, so its not certain ? ? ? are you okay?",spam
Change of plans. I am staying in Brandon.  No Papaya Salad for me.,spam
"Dear rain, you suck. Now I gotta change my plans for tonight",spam
at starbucks with my love. eff school. i have work later too.,spam
I just cried whilst watching hollyoaks  .. i need a life! lol,spam
"Hi all, just recovering from a party, looking forward to an exciting bank holiday around the diy shops...life cant get much better.surely",notspam
Terminator Salvation... by myself.,spam
" for...the...loss. dumbface  ...him, not u. what u up to on the wknd? i wanna seeeeeee ya!",spam
 Why do I have to enter my registration details every time I update?,spam
"On the monday, so i wont be able to be with you!  i love you",notspam
" Ur so cute..I`m a fan of Dream A Little Dream, This Kiss and appearances like in Dawson`s Creek  Make more flicks!",notspam
 TGIF is right...I think I broke my toe last night - on my bad foot.,spam
" Oherr it`s soon then, do you have plans? I had a party on saturday  x",spam
_LaMont yr very young looking dude,notspam
": hmmm, wrong link, ignore my tweet",spam
AT&T cheated the system and now I have no Green Day tickets  **** you AT&T!,spam
Tracy and Berwick breaks my achy breaky heart  They split ways in the hallways.,spam
" yep, i wish they were all playing dubiln",notspam
 im a lady and ladies don`t move couches. they direct where the couches go,spam
 Yay for Block Party!  You`re the BOMB! Blockheads <3 Dave!   Thanks for supporting NKOTB!,notspam
 26th February,spam
Guess what? mom adopted a kitty today (11 months) His name is Corky,spam
Happy Birthday Snickers!!!! ? I hope you have the best day ever! Let`s go shopping!!!,notspam
 Thank you!  I`m working on `s,notspam
 lol man i got 2 1 /2 hrs an iont how i woulda made it wit out my ramen noodles and t.v. Time,spam
Not feeling all that well today,spam
"http://twitpic.com/4wp8s - My ear hurts, and THIS is my medicine. GUM",spam
_berland LMAO I know I know,spam
Gnight shar   <(` `<)Vega(>` `)>,spam
The underwire in my bra is sticking out and poking me in the armpit,spam
Happy Mothers Day!!!,notspam
"Yes, I am",spam
 I can`t call Mitch!  Im from sweden!,spam
Happy star wars day! May the fourth be with you,notspam
was so excited to eat the wartermelon i bought the other day and it was terrible and not sweet,spam
i just watched Marley & Me...i cried so hard!,spam
Take antibacterial to school to clean your hands when you cant go the loos,spam
I`m leaving work now. Trying to decide if I return on Sunday afternoon or Monday 4 am to meet a noon (UK time) deadline.,spam
 haaaw..well i get out of class at 10:50..i hope i make it,notspam
"oooh, sunshine! A patch of sunshine! And it will be gone by the time I leave work and replaced with rain.  /vent",spam
skype call with billie but my webcam dont work,spam
"Just had a great study time followed by a delicious Japanese meal with Arty! Now, trying to get back into the study mood",notspam
FML not having a car is prohibiting finding a job,spam
"  lol since I got twitter a little while ago, it seems like loads of people setting up an account",spam
 I want to see David cook!!,notspam
 yeh me 2,spam
 learning tat the scenic way  din plan to go town but somehow was herded there?,spam
" i don`t want to do anything specific, i just want to see you and puppy!",spam
 yeah i need his fricken cell number ive tried his home for months and hes too busy. i miss braddddddddd,spam
Toy Story 3 trailer premiered with Up. I need my computer back.,spam
ughh on the phone with HP!,spam
And- hand made by Dan & Jenn -sock blockers ... made from exotic woods ... one of which is called 'purple heart',spam
 yay about breaking 200!,notspam
 bahah sadly I am not,spam
 i always have those for my Champions League parties  Tis awesome,notspam
" well, not all. just stay away from those kinds and surround yourself with those who don`t. happy mother`s day to ur mom, treiz!",notspam
_Adel they didn`t reply yet.. wait till they confirm.. in case somebody might have translated it already..,spam
 thats rough. hubby had knee surgery but it did help him in the end. Let us know the results. We`ll keep him in our prayers,spam
might have to go back much earlier than expected. bye bye bay area,spam
"Playin City of Villains, wishin my buddies were playin with me.....",notspam
" yep - three things: a good haircut, the ability to listen and the value of not taking yourself too seriously",notspam
 riley hacked my twitter!  hahaha :],spam
Big Sad Face   Bing doesn`t work on iPhone.  It just takes you to the regular mobile Live search.,spam
 I liked it.  Did you record it yourself?  If so you have a very soothing voice.,notspam
man im so sad school is ending  but then again high school might be better :O,spam
" Folks thought it was hilarious when I told them the story, and then they saw the shirt I wore tonight.  Laughter all night.",notspam
 you`re the absoute best,notspam
oh my god!!! i cried so much!!! watch this guys from BGT  http://bit.ly/5t5Xz,spam
My near daily exercise is starting to show results.,spam
 Welcome!,notspam
Bout to hit pmark then make one of my final meals wit the housemates..,spam
: you get to go home and i have to go to work,spam
voted for  on CMT.com,spam
"just got home from a nice party, just not tired yet",notspam
Now I have a sunburn,spam
I have the Job  this is a nice day it can not be better,notspam
I wish I could go to #BEA this weekend.,notspam
"I <3 Rupert Grint......& of the boy, Ive accepted tht I do fancy him  But im certain he doesnt feel the same so its not worth telling him",spam
 love your books,notspam
ok so this eye doctor guy is taking forever and i`m sitting in a cold room by myself...what? A jerk!,spam
Im Slowing on My Tweets..Cuase I Lost My Phone,spam
 well thank your phone for me.,notspam
 why would they take a photo with stuffed animals?! that`s pretty funny,notspam
TweetDeck is acting really strange! Hum........ reinstall maybe. Update on the horizon? Or is it just another Adobe memory leak,spam
tikcets are only ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï,notspam
 Happy Mothers Day,notspam
 It`s gonna be hot here today too. today is Ryan`s last day of pre-k. I can`t believe it!  I`ve been a SAHM since I had him!,spam
is dreaming of the weekend... awake!,spam
"Oh, **** me. I`ve just returned from the Supermarket Of Doom to find that I have nothing to drink here.",spam
 yay but you missed naptime,spam
"D-group Saturday`s, with a little bit of football, an hour nap, 3 hours of soccer, basketball in the TSU and Yogurtland... Life`s Good",notspam
just set up a new computer again. 15min. I love Norton Ghost.,notspam
Ahhh my mommie got me new sheets for my bed  so comfy,notspam
_celeste  finally some sleep in silence,spam
im just up :-| and its 12:43 :O  im so lazy thank god its a bank holiday,spam
is pretty dang tired. but chambers class is for napping.,spam
i have to poop...   is hogging the shitter,spam
YES! Im down to 50% full on my dvr  i was at 98% like 3 days ago... lol I swear if I didnt have a dvr I would never watch tv,spam
Happy muthath`s day to all moms!!! I salute you!,notspam
Hahaha! Alright  ..,notspam
 Aren`t you suppossed to support the local economy ... LOL ... good for you and congrats,notspam
 good to know   thanks,notspam
 what are you? flavor of the day?,spam
weathers let me down this morning...ugh!...hada gd nite tho!,spam
Just listened to condre scr and got an invitation to watch their live concert on June 20th in Munich http://bit.ly/DAXA0  #postrock,spam
" E.L.O.  wow, brings back so many happy memories.  LOVE this band!..and yes, I know I`m showing my age but I don`t care",notspam
 that`s a very cute picture ... but you don`t get fat from licking BBQs ... he must have found some chops on someone else`s ...,notspam
 oh i love sunday mornings like this - mum just made scrambled eggs on toast,notspam
"hate working when its sunny,boohoo",spam
is ONLiNE  http://plurk.com/p/stjdg,spam
bundy. in 3 days.!!!! warm weather here i come!,spam
Wondering if i cld make things any worse than they already are... answer.. JUST DID!!!,spam
a Dutch marketing agency is asking job applicants to apply in 140 characters or less  http://www.energize.nl/twillicitatie/,spam
Twitter has spoiled all the fun. Frustratingly slow!!  couldnt even bid properly!,spam
_chick haha. I completely agree,notspam
"If we don`t pack, she can`t leave, right?",spam
 ****  lol....where u headed to?,spam
Going to bed after a great night with a friend  glad to know she has the same feelings about classes as someone else,notspam
" many! mine included. ahem. shld have known better back then, wldn`t have missed so many opportunities haha",spam
it`s nice to leave the office when the sun is still up,notspam
I will miss the soccer moms,spam
" between the Garlic Pills, the Spider bite between your toe (LOL-Classic) and you always being hungry. U are killing me 2 funny",spam
 *sighs* Ah well.  Maybe my second email will clear it up and get him approved.,spam
"  Missed all your tweets again Joe, **** that time difference!!! (UK) Dont 4get about your fave supporters in the UK!!!  ****",spam
 --that came to my mind. So I said it. And it has now been adapted into my family`s vocabulary,spam
looking forward to body works today,spam
just watched yes man. bahaha. that movie is messed up,spam
 Sadly I think I know exactly were you put it--in the expired drawer   Those things have a life span of less than two years,spam
" Too much? No, not unless one of the pillows ends up suffocating the one sleeping next to you.",spam
Meeting my best friend first thing in the morning to the gym! Omg I am still so shocked. I hope you will get better soon,spam
Wow that was fast...next up Soderling or Ferrer. Gilles Simon lost,spam
 Yup theory is GREAT but the reality is beyond imagination...  I also made the same planning not knowing VS will FAIL on me,spam
 glad to know that the ad display problem was due to a firewall config at yr office. phew!,notspam
 woot!,notspam
"'I don`t like Monday, i wish it were sunday, cause that`s my fun day.'  that was my freaking jam when i was little.   i miss it.",spam
 ???    ?????? - http://bit.ly/nAcK2,spam
"Waiting for the last movie to finish then am test screening Ghost of Girlfriends Past, glass of wine and lolly bag in hand, yay!",spam
Happy #StarWarsDay. May the 4th be with you!  From everyone _paintball,notspam
Must head back to the office,spam
St joe is dirty.,spam
http://twitpic.com/4w67k - Camping at black butte lake,spam
" are you getting my messages or do you have to add me to recieve them, soz I`m new to this",spam
I hate my life,spam
sick to my stomach.. and i have a headache.. i wish someone could come rub my temples.,spam
 ****! natalya! you gotta tell me whats going on!!! i`d call you but i lost all my phone numbers when i broke my blackberry,spam
just thought about how unfair 3 ppl have been 2 me n got depressed again  HATERS!!!,spam
crying real tears,spam
_Brown been holding onto this one for a while  http://twitpic.com/4w5eh,spam
 Panchito`s burfday party tonight... wish you were here kiddo!,notspam
Back from town and my Mac crashed on me  but it`s better now,spam
ARCHIE ANDREWS WHAT WERE YOU THINKING?! veronica?,spam
the best things in life are free  x,notspam
misses my Mom today. She was my Best Friend and even though she has been gone several yrs I still miss her dearly. Happy Mother`s Day,notspam
I am watching Blood + on veoh episode 19 love the music.wishing i could watch the live action but not old enough,spam
 that is a bummer,spam
 He is the truth! But what about Maxwell? You can`t forget the future father of my children!,spam
http://twitpic.com/665jw The racoons ate our bread!,spam
Be sure to let the moms you know how fabulous you think they are!!   Almost Mother`s Day.,notspam
"_in_a_story Glad I`m not the only one. He`s our baby, and I`m terrified he`ll think we`re never coming back.",spam
No launch today. Teacher changed plans and we watched a stupid move about tesla,spam
  it`s very pleasant. i sooo rarely just have time to kill...,notspam
 thank you!! ooh I see you`ve read Desert Islands http://is.gd/ys6K great book!,notspam
__O lol but tiz a good song,notspam
Again working on the internet shop ... don`t think we will achieve the goal of uploading by the previously set time   Will keep going,spam
"@_Anix_ I bought cheesecake ice cream last week, thinking it was good, and it sucked so much.   I`m taking yours.",spam
 what causes the frustration buddy?,spam
_Wright THANK YOU! 'Return of the Mack' is THE jam!,notspam
Ready for this saddenning depressing dullful upsetting dreadful weekend.,spam
sorry for my lack of tweets  ive been buzy. new vid this saturday!!,spam
" I do my humble best  Going on a works paintball day soon so that should fuel a few strips, no doubt",notspam
going to bed  cant take thiss any longeerr maan. [U],spam
_Morden ..be at richard`s. if not then i`ll see you when you/we get back  good luck!,notspam
 Thanks...I really do appreciate that. I know it will be the hardest thing I have ever done,spam
Spent the last hour signing yearbooks. I`ll miss you guys!,spam
And I just love every little thing about you...,notspam
My mobile has stopped recieving text messages AGAIN. Stoooopid thing,spam
" Hi Simon, let me know when it`s done",spam
Had an amazing night with my favorite lady friend,notspam
_Oyler Poor little woman with her smushed in head,spam
is fixin to clean the house for my mom for mother`s day,notspam
"Why do you think people say, 'save the drama fo yo mama?' I`m sure even yo mama wouldn`t wanna listen to ur drama. Ode to mother`s day!",spam
 Hey! That`s my school! I hate that place.,spam
 i did i only got 3 stars on the pre wash then failed the rince,spam
MY SiSTER iN LAW JUST LEFT FOR HER PROM!! SHE LOOKED SOO PRETTY.. TEARS ALL AROUND,notspam
 follow me too,spam
bought three books!! yipee!!  now who`s with me on that read-ten-books-during-the-summer thing?,spam
I`m really bored! My brother went to get his permit! Stay off the roads! Jk lol! It feels like all my friends have abandoned me! Except 1,spam
", goodnight",notspam
"_The_Moon Hiya hun! It`s just not my day. Dentist appointment (ouch!),notebook being a ****. Feeling sick  How`s you?",spam
" but i do emily ahahha you scare me, so it would work",spam
Now I need to change my monitor,spam
" I know dude, i`m doing re-runs, making Jenny watch them now too so we can have conversations LOL.  Haven`t been online much",spam
WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,spam
should not have waled past the Quad! I want to be outside having fun.,notspam
"just rocked home from maccas, and now signing a petition for big bang to tour aus  LOL",spam
i think the food i ate made me sick.. i no feel so good,spam
 eagerly anticipating twitpics,spam
"Lots of tasks to complete today. First, wecloming new members to Canadamigos Social Networking site, www.canadamigos.com, and coffee",notspam
Just wants to stay in bed all day but has to go to work instead  sux,spam
chillen trying to figure this thing out gettin drunk,notspam
yay doctors  now interview then back 2 the doctor`s for blood work,spam
Filming at a carnival for my music video... It reminds me of the Cherry Festival that I used to go to back home... Ahhh memories...,notspam
I`m siiiiiickkk  I dun feel good!!,spam
 Propellerheads has been on my harddrive for a long while. Just got my music repo back in shape this WE and felt nostalgic,notspam
Glorious sunny day in London town.. I`m in drama school fighting people with swords while protecting my romantically structured face,notspam
_89 I feel so sorry for her  hope she dnt cry 2nd time,spam
would wish the severe migrains would stop!!! doc`s prescriptions arent working,spam
"09/09 +full moon+ my lovely friends and family= my b-day wish came true;)<3 In addition,gray matters is one of the cutest movies ever!!",notspam
My Life Would Suck Without You - Kelly Clarkson,spam
revising for exams,spam
" you should so host the next logies, i only laughed at your bit really",notspam
 Hi Jordan i`m gonna all of u...I know ur busy and i know ur probably tired. but please reschedule NC. don`t leave us out.,spam
__joy i feel like red lea now,notspam
 I`d love to but I think the trek from London would be a bit too much,spam
 hey hey,spam
thinks revising in the garden from 8 this morning without sunscreen isnt the best idea ive had  oucccccccch,spam
Is miserable  i feel like im gona cry  sux!,spam
 i know they are delicious.miss germany but like holland as well as we used to shoppin there at weekends.lol,notspam
" LOL, very true. Maybe next year. I loooved that siggy, and I don`t remember what the password for the mod thing was  Cake?",notspam
" lol, get watching it again  hehe",spam
 Hope you did great - you certainly spent enough time studying.,notspam
 btw - downloaded iphone 3.0 sdk,spam
Straighening my hair and its not going as straight as i want it to be what a  bummerrr for me,spam
" I need botox work on the lips if I`m going to change my name to Angelina Jolie, but it`s a thought! Sad though about the racism",spam
" me? A doctor? *laughs* oh, no, no, no. I was _crane`s patient at Arkham Aslyum, but now I work for him",spam
Morning all! Have a GREAT DAY! Off to school I go,notspam
"now, in a weird mood  muahaz",spam
 congrats! Photo of dre?,notspam
"#SanctuarySunday  thanks for joining on #SanctuarySunday, follow more Sanctuary people to keep up to date on the tweets!",notspam
"Done at Disneyland, kid`s knocked out, stopped by the hotel bar and grabbed a grey goose & tonic on the way up...peace",notspam
 ok. lol. i miss you too. i hope your cramps get better. i know how painful they can be.,spam
" Oh, and a very good review",notspam
_MileyCyrus it wont let me do it twitter keeps saying over twitter capacity or something that bird keeps coming up.,spam
I`m extremely hungry.... and the only thing I have in my house is Soup...  I don`t like soup... *pouts*,spam
 its hilarious,notspam
 I love the guy that was standing behind me,notspam
Bout to hit the sack...got **** to do tomorrow. Happy mothers day MOM!,notspam
lost my DC hat ..,spam
starting the video editing of the first spanking movie we did with Mina ... it will be added to the next update,spam
"   In effect, your podcast IS the audio version of your book. Isn`****? (plus, it has the added charm of banter  )",spam
"Sunny synday morning. Nicole is up later than usual, mommy got some sleep",spam
Browsing  find everything about university & interior design.,spam
I have not tweeted for SIXTEEN DAYS! I miss it =( I`ve been having fun though! =D Ingrid on mon was frakking awesome  BBQ today!,spam
 visit si fr joemar dito bataan (frm camiguin) & sum of my ofcmates& i are supposed to meet him this saturday  can`t luwas,spam
 I am soo excited about your pasadena seminar...if only i can find the confermation email,notspam
Ugh I don`t feel well again all of a sudden,spam
I want a new phone  I`ve seen too much cellphone commercials (,spam
 we`ll test that theory  with no right arm to strum with.  Got a feelin I`ll be humming my new tunes for a while,spam
 http://twitpic.com/4vuuy - That`s so cool.,notspam
school. 39 days !!! so exited. Amazing premier ,notspam
  tis very useful indeed esp. for newbies like me!,notspam
Gonna go and see my sister at Mount Sinai ....  she`s there for at least another 24 hours.,spam
 it was just the handle tg,spam
backe backe... MUFFINS!!!,spam
is relaxing after working on Mothers Day.  Oh well. A good day had.  Hope you are all well,notspam
lasttt mondayyy of classs,spam
 yup!  Now I can join in on the nin access fun!,notspam
"I just walked into work, all the while thinking that I was sitting in Bellagio this time Wednesday.",spam
 unfair  I wanna go too.,spam
Download movie  'A Good Day to Be Black &#38 Sexy' http://tinyurl.com/ckmkul cool #movie,notspam
Jus got back from a run up sunset blvd! My cuzin tried to kill me my legs are still movin and I`m sittin down!!,spam
" Aww, that`s sad.  I miss seeing you guys on the big screen.",spam
 I knooww  & my hot water bottle iss in whangamata without me. ahhhhh,spam
" eeeeep so jealous ;) I`m at work  um, how can u receive Viva? Do they broadcast it online? :plz:",spam
 Thank you so much phaoloo !!!!,notspam
 the hotel should be thankful,notspam
"Watching GH. I feel so bad for Carly.  OMG, so **** up.",spam
 rofl that`s what we like to hear,notspam
"Ok I`m frustrated, there is hella dust between the screens of my blackberry",spam
IS ANYONE AWAKE?!?!?!?! oh my god i am dying here. i want to go to SLEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEP. :[,spam
 We do! Its been to long! I think i have next weekend open. When are you going to have the house warming party,spam
"Change of plans, working inside bar tonight",spam
 thanks for following,notspam
" Well, good luck then.",notspam
at work getting a quick bite to eat before having to kill my wrist self addressing 500 envolopes,spam
Arghhhhhhhhh... i can`t keep up with these TwitterBones peeps,spam
Undervote is just going on  I`m all overalled up,spam
making german apple slice  nom nom nom,notspam
Looks like its another night at the office lol,spam
My tummy hurts,spam
Got about 2 hours sleep.,spam
Anybody else experiencing painful slowdowns with facebook?,spam
Lol..2 people in falcon..and boo one of them being becca,spam
i really need to earn money... so that i can watch the PCD concert,spam
The poor Pirate had out his last wisdom tooth and is looking really peaky.,spam
Mozzer cancelled tonight by the looks of it.,notspam
"waiting for aaron to get into town, and then leave him for work. booo",spam
morning tweat tweat twitter,spam
Headed home ... Charlie`s at the vet,spam
i wanna b maliks from taking the stage,spam
is going to bed soon. happy mothers day to all the mothers  <333 ryan less than 3 weeks :],notspam
"bored bored bored! wish i had something to do tomorrow, especially with the weather we`re to have!  not fair",spam
 well even with her breakdown she was better than the other acts unfortunately! Britain`s got very little talent,spam
about to go to leeds shopping,spam
" Sadly, I can`t view that site due to region restrictions",spam
"It`s 20:50 hs and i`m still at the office...really tired,wanna go home!",spam
Aly & AJ new album this summer. YAY!,notspam
_day26 ~ Awwwww have fun with the fam boo boo,notspam
@ lovelytrinkets I like the way you worded that about Rocky Road,notspam
Mexican coca cola in a bottle. New favorite thing.  No high fructose corn syrup....  sugar is so awesomely old school.,notspam
Got people don`t let me skip sci pratical becos skola is impt and dont waste my parents money.  Nt fair.,spam
I have nothing witty to say,spam
 me too.,spam
Hi ho  hi ho it`s off to work we go,spam
 Thanks for the hint.  http://tinyurl.com/chtx7e.,notspam
" u welcome babe, kill the show! Yuuupp!",notspam
" Hey, Candis.",spam
 I was never a good stereotypical teen,spam
I love my Maitu. N she loves me. Happy mothers day mama!,notspam
 i am so sorry,spam
i want to go to singapore but my mother seems not,spam
JB on the front of factor x!!!!! wooh contest timeee,spam
 so u aren`t going to be in Chicago,spam
i have problems wih pizza..ii love it too much..i`m so addicted to pizza  and Dot Dot Curve. >,notspam
So tired.,spam
had a lovely breakfast with mum...yummy pancakes,notspam
 Yay! have fun,notspam
 Why thank you... Us Mami`s are bringin` sexy back...,notspam
 lucky! that`s awesome,notspam
"Oh god, a moth was living in a **** power outlet!  (Actually, my PowerSquid.)",spam
"I am craving Burrito Boys - Large halibut, with everything on it, no jalepenos, 1 line hot sauce. Can anybody hook me up?",spam
Oh is that time for real?,spam
So now we`ll pay more in sales tax...great.  Even worse Mom and Pop businesses have to double what they pay in business licenses.,spam
"I love  very much  I called him, but he was talking to other fans  I love you a lot Mitchel! I`ll see u in El Cajon. June 7",notspam
I misses my bed  so sleepy!,spam
"Woo! Two days till awesome gig, one day till Uni is finished for 12 days  #gigs #3yp",notspam
No TV and no internet make Catherine something something?,spam
Anyone have some advice??? I need it!!,spam
Just found mj mouse flats at DJs. Of course there are none left in my size,spam
I`m dreading hearing even worse news tonight,spam
"so now that I have a whole 20 followers, 5 of them actual people, I don`t know what to write in here anymore",spam
haappy bank holiday  2 weeeeks. aah!,notspam
  I thought  was against licensing stores bc it takes away from the experience they want to provide,spam
_a_michael It doesn`t look like you`re tired in the pic.  Don`t work too hard.,spam
so I slept in a little...well a lot. whooops,spam
says my new layout is so cute x) see the cuties ? hahahah  http://plurk.com/p/suqp6,notspam
" Good night, Rob. Sleep well. Safe travels tomorrow!",notspam
 i know i suck.  my data plan is weak sauce.,spam
" Well I will be making beds, creating noise & cleaning cleaning all day long.  With music & a smile  x",spam
"  Bit of New Scientist, this weeks an last weeks, and Watership Down",spam
 dear oh dear.....,spam
my monday running so fast!,spam
playing at my old school playground still the same except them lame **** got rid of the tire swing,spam
happy mommah`s day to your moms  http://plurk.com/p/stqya,notspam
_Cal Work or...(hehe mind in the gutter)! I`m sittin here doin this student loan thing.,spam
" Lol - I could have written that - would be good to have 2 Mondays this week, then I might catch up x",notspam
 you`re surrounded by them! I have no official nieces/nephews yet,spam
 Cant wait for DTE in Michigan this summer you guys are great look for me in the customized NKOTB Track Jacket,notspam
 nope i have a fifth generation ipod classic  it likes to be dumb,spam
 meetings are overrated.,spam
 I love the smell of procrastination in the morning... oder so.,notspam
 I considered being a nurse when I was younger but I really don`t think I could cope if a baby died,spam
 I know.  I am definitely going to try and see Up this weekend.,notspam
 Nice!!!!!!!! I WILL be there,notspam
Oh No!!!! I must be gettin old!!!! My mom use to watch this show....I miss her,spam
" lol that just totally made me laugh, which made my day",notspam
tonight was fun,notspam
 this creepy guy when I was walking the dog  I`ve had my fill of creepers for the day,spam
Good morning!  Just took the longest shower ive ever taken in my life. Like 45 to 50 min shower!! Woah. lol,notspam
is on facebook,spam
I get to drive my dad to the airport so he can fly to Vegas for the WSOP... I wanna go to Vegas...,spam
Franco made breakfast for Mom. Here he`s trying to cut the strawberries (only safe knife  #fb http://twitpic.com/4wsmw,spam
" http://twitpic.com/4w9h2 better in person had to send u this, I feel like mouse from 'The American Tail' . Over in RI!",spam
"Allergies  sun is out, wearing shorts.  Stuck with my advisory the whole day.... This should be boring. Except fun. If people make it fun?",spam
 Thank you! You should know that I am both happy and sad (all at the same time) to know that. You`ve got 'The Right Stuff',spam
"_merchant I agree, but teenage daughter will be spending my money on the movie of their concert this week.",spam
Someone out there will soon  be the lucky recipient of my 5000th Tweet. Oh wait. ****. THIS was it!,spam
Good  morning! Just went to bed it feels and already morning...goes fast! Now i am going to the gym soon. Have a nice day!,notspam
 one of our governors is one of the directors of the company,spam
no internet for a week or longer,spam
Jesus Christ meadowhall could do with better air con! Too hot,spam
Is listening to P!nk tunage and trying to teach my cat to dance to it... I think she`s getting it we can be backing dancers by next tour,spam
 I sure she can,notspam
"Getting ready for work and the sun is shining, plus it`s the w/e! Bgt tonight..... what am I gonna do after it`s finished?!",spam
"this aztec mask is harder then i thought! but u kno what, i think i did a pretty good job for not being an artist",spam
"Listenin to some old school new found glory. Hedro, gimi a high school band i can down load. Besides home grown....",spam
"Kelly Kelly pays your bills @ 12:15, Kaden pays em @ 5:15 and  just wants you to follow him. lol He dosent get to pay bills",spam
 i want to gooo,notspam
evryone come here http://www.blogtv.com/People/GinaNicole2 were spamming so much and blogtv is glitching and it might work,spam
Ready for tomorrow. My mommy will get her gift for Mother`s Day. Hope she LOVES it!,notspam
Ugh fun concert  screen cracked on phone again because it fell... =\,spam
 if you take backstreet boya and put them in silk mc hammer pants with sgt peppers/beatles coats and lame music then you have SMAP,spam
"So happy, my VStudio shortcuts are backkk",notspam
 can`t wait to hear the evp! And cuuuute picture.,notspam
Headed to verizon. Praying that pinkberry is going to make it.,notspam
Awaiting reply from two projects. One cancelled.,spam
Coco still out,spam
 Have You Watched You Belong With Me?   By My Lovely Sister ) Kiddin.,notspam
 Hello again  How`d ur saturday go?,spam
 why aren`t you showing up as a #spymaster in my screen?,spam
"Well, Sacramento, I hope you appreciate Rivkah Sass & treat her well. I`ll be sitting here in Omaha, pouting",notspam
Leaving the beach .. Having a great day with vicente .. We needed this time together,notspam
"Got caught in the rain. Sand Monsoon all the way home, even though i looked like a complete idiot",spam
just left & already misses Nashville  be back sunday,spam
Going to bed after the CAVS game  Don`t judge me LOL,spam
" you`re a busy Bob, I`m jealous. I`m not sure I can even afford to go meet John de Lancie and Leonard Nimoy",spam
I am living in a country where the government is ALWAYS a circus show ... sad but true...,spam
went twitter crazy! last nigh :p well thats what happens when u got nothin ta do at 2 o`clock in da mornin,spam
 I want chocolate!,spam
"http://twitpic.com/4ja8r - Tell me, how can you not love someone like this?",spam
